Nr 	Pit	Name	Age	Horizon	BD_nr	Dish_weight	Wet_soil_dish	Wet_soil_weight	Dry_soil _dish	Dry_soil	Stones_weight	Volume	Stones_density	Stones volume	g/cm_soil_density	g/cm_Bulk_Density	Moisture
463	7	DRUM 	GRASS	Ah_UPP	BD5	8.76	134.16	125.4	97.66	88.9	31.83	100	2.170176212	14.66701175	0.5707	0.668791767	41.05736783
464	7	DRUM 	GRASS	B	BD1	8.85	156.54	147.69	124.06	115.21	36.57	100	2.170176212	16.85116618	0.7864	0.945773938	28.19199722
465	7	DRUM 	GRASS	B	BD2	8.75	121.06	112.31	99.35	90.6	39.85	100	2.170176212	18.36256419	0.5075	0.621651078	23.96247241
466	7	DRUM 	GRASS	B	BD3	8.71	147.48	138.77	125.95	117.24	63.63	100	2.170176212	29.32019974	0.5361	0.758491108	18.36403958
467	7	DRUM 	GRASS	B	BD4	8.32	125.6	117.28	100.32	92	29.47	100	2.170176212	13.57954245	0.6253	0.72355553	27.47826087
468	7	DRUM 	GRASS	B	BD5	8.7	116.54	107.84	94.15	85.45	25.96	100	2.170176212	11.96216227	0.5949	0.67573218	26.20245758
469	6	MOR	V.OLD	Bhs	BD1	8.76	188.74	179.98	178.37	169.61	72.29	100	2.170176212	33.31065911	0.9732	1.459303671	6.114026296
470	6	MOR	V.OLD	Bhs	BD2	8.76	189.26	180.5	178.61	169.85	81.04	100	2.170176212	37.34258976	0.8881	1.417390212	6.270238446
471	6	MOR	V.OLD	Bhs	BD3	8.82	167.39	158.57	157.85	149.03	73.12	100	2.170176212	33.69311653	0.7591	1.14482835	6.401395692
472	6	MOR	V.OLD	Bhs	BD4	8.78	166.5	157.72	157.77	148.99	76.75	100	2.170176212	35.36579176	0.7224	1.117674401	5.859453655
473	6	MOR	V.OLD	Bhs	BD5	8.38	159.85	151.47	150.01	141.63	65.63	100	2.170176212	30.24178389	0.76	1.089477401	6.947680576
474	1	TULL 	GRASS	Ah_UPP	BD5	8.35	148.99	140.64	114.33	105.98	18.46	100	2.170176212	8.506221705	0.8752	0.956567776	32.70428383
475	1	TULL 	GRASS	B	BD5	8.88	121.6	112.72	109.21	100.33	44.11	100	2.170176212	20.32553843	0.5622	0.705621336	12.34924748
476	3	TULL 	OLD	Bhs	BD1	8.83	106.23	97.4	88.5	79.67	27.37	100	2.170176212	12.61187909	0.523	0.598479513	22.25429898
477	3	TULL 	OLD	Bhs	BD2	8.88	134.34	125.46	114.27	105.39	42.69	100	2.170176212	19.67121368	0.627	0.780542105	19.04355252
478	3	TULL 	OLD	Bhs	BD3	8.82	131.59	122.77	112.98	104.16	27.29	100	2.170176212	12.57501573	0.7687	0.879268102	17.86674347
479	3	TULL 	OLD	Bhs	BD4	8.81	106.65	97.84	79.69	70.88	18.35	100	2.170176212	8.455534577	0.5253	0.573819507	38.03611738
480	3	TULL 	OLD	Bhs	BD5	8.97	152.33	143.36	115.01	106.04	49.56	100	2.170176212	22.83685524	0.5648	0.731955653	35.19426631
481	3	TULL 	OLD	E	BD1	8.77	68.13	59.36	55.62	46.85	19.27	100	2.170176212	8.879463286	0.2758	0.302676005	26.7022412
482	3	TULL 	OLD	E	BD2	8.8	70.39	61.59	59.63	50.83	10.43	100	2.170176212	4.806061343	0.404	0.424396769	21.16860122
483	3	TULL 	OLD	E	BD3	8.78	112.71	103.93	85.36	76.58	21.36	100	2.170176212	9.842518723	0.5522	0.612483836	35.71428571
